-0.009291, 0.057162, 0.067416, 	0.25, 1, 		0.2513, 0, 0.9679, 
0.054807, 0.057162, -0.041631, 	0.625, 1, 		0.9679, 0, -0.2513, 
0.067972, 0.072541, 0.009082, 	0.5, 1, 		0.9679, 0, -0.2513, 
0.067972, 0.057162, 0.009082, 	0.5, 1, 		0.9679, 0, -0.2513, 

-0.041075, 0.057162, -0.055016, 	0.875, 1, 		-0.2513, 0, -0.9679, 
0.009638, 0.072541, -0.068182, 	0.75, 1, 		-0.2513, 0, -0.9679, 
0.009638, 0.057162, -0.068182, 	0.75, 1, 		-0.2513, 0, -0.9679, 
-0.009291, 0.057162, 0.067416, 	0.25, 1, 		-0.5067, 0, 0.8621, 
-0.024348, 0.072541, 0.058565, 	0.208333, 1, 		-0.5067, 0, 0.8621, 
-0.024348, 0.057162, 0.058565, 	0.208333, 1, 		-0.5067, 0, 0.8621, 

0.067972, 0.057162, 0.009082, 	0.5, 1, 		0.8621, 0, 0.5067, 
0.041422, 0.072541, 0.05425, 	0.375, 1, 		0.8621, 0, 0.5067, 
0.041422, 0.057162, 0.05425, 	0.375, 1, 		0.8621, 0, 0.5067, 
0.009638, 0.057162, -0.068182, 	0.75, 1, 		0.5067, 0, -0.8621, 
0.054807, 0.072541, -0.041631, 	0.625, 1, 		0.5067, 0, -0.8621, 
0.054807, 0.057162, -0.041631, 	0.625, 1, 		0.5067, 0, -0.8621, 

0.043653, 0.079462, -0.032529, 	0.625, 1, 		0.811, -0.5792, -0.0822, 
0.059667, 0.097496, -0.001617, 	0.5, 1, 		0.8648, -0.4715, -0.1729, 
0.054156, 0.079462, 0.00793, 	0.5, 1, 		0.8896, -0.3941, -0.2309, 
0.041422, 0.072541, 0.05425, 	0.375, 1, 		0.2806, 0.8871, 0.3665, 
0.054156, 0.079462, 0.00793, 	0.5, 1, 		0.4421, 0.8942, 0.0698, 
0.032974, 0.079462, 0.043964, 	0.375, 1, 		0.2735, 0.887, 0.3722, 

0.054807, 0.072541, -0.041631, 	0.625, 1, 		0.3443, 0.9012, -0.2633, 
0.007618, 0.079462, -0.05371, 	0.75, 1, 		0.0592, 0.9037, -0.424, 
0.043653, 0.079462, -0.032529, 	0.625, 1, 		0.3493, 0.9011, -0.257, 
-0.067625, 0.072541, -0.009848, 	1, 1, 		-0.4421, 0.8945, -0.0659, 
-0.03284, 0.079462, -0.043207, 	0.875, 1, 		-0.2656, 0.9011, -0.3429, 
-0.041075, 0.072541, -0.055016, 	0.875, 1, 		-0.259, 0.9012, -0.3476, 

-0.05446, 0.072541, 0.040865, 	0.125, 1, 		-0.3702, 0.8871, 0.2756, 
-0.054022, 0.079462, -0.007172, 	0, 1, 		-0.4443, 0.8942, -0.0539, 
-0.067625, 0.072541, -0.009848, 	0, 1, 		-0.4421, 0.8945, -0.0659, 
-0.009291, 0.072541, 0.067416, 	0.25, 1, 		-0.0647, 0.8838, 0.4634, 
0.032974, 0.079462, 0.043964, 	0.375, 1, 		0.2735, 0.887, 0.3722, 
-0.007484, 0.079462, 0.054467, 	0.25, 1, 		-0.0647, 0.8838, 0.4634, 

0.067972, 0.072541, 0.009082, 	0.5, 1, 		0.4433, 0.8945, 0.0577, 
0.043653, 0.079462, -0.032529, 	0.625, 1, 		0.3493, 0.9011, -0.257, 
0.054156, 0.079462, 0.00793, 	0.5, 1, 		0.4421, 0.8942, 0.0698, 
-0.041075, 0.072541, -0.055016, 	0.875, 1, 		-0.259, 0.9012, -0.3476, 
